delay,send_time,receive_time,data_length
0.018,1715860153.227,1715860153.245,1000
1.037,1715860154.264,1715860155.301,1000
0.020,1715860156.551,1715860156.571,1000
1.040,1715860157.591,1715860158.631,1000
1.031,1715860159.654,1715860160.685,1000
1.019,1715860161.706,1715860162.725,1000
0.021,1715860163.744,1715860163.765,1000
0.019,1715860164.785,1715860164.804,1000
0.018,1715860165.827,1715860165.845,1000
0.023,1715860166.864,1715860166.887,1000
0.018,1715860167.908,1715860167.926,1000
0.063,1715860168.949,1715860169.012,1000
0.017,1715860170.034,1715860170.051,1000
0.019,1715860171.070,1715860171.089,1000
0.018,1715860172.108,1715860172.126,1000
0.016,1715860173.148,1715860173.164,1000
1.033,1715860174.185,1715860175.218,1000
0.018,1715860176.239,1715860176.257,1000
0.022,1715860177.279,1715860177.301,1000
0.022,1715860178.544,1715860178.566,1000
1.030,1715860180.035,1715860181.065,1000
0.018,1715860184.120,1715860184.138,1000
0.019,1715860185.160,1715860185.179,1000
1.054,1715860186.200,1715860187.254,1000
0.040,1715860188.275,1715860188.315,1000
0.040,1715860189.334,1715860189.374,1000
0.024,1715860190.397,1715860190.421,1000
1.043,1715860191.440,1715860192.483,1000
1.028,1715860193.505,1715860194.533,1000
0.017,1715860195.552,1715860195.569,1000
0.025,1715860196.590,1715860196.615,1000
1.030,1715860197.634,1715860198.664,1000
0.017,1715860199.916,1715860199.933,1000
0.017,1715860200.952,1715860200.969,1000
0.021,1715860201.992,1715860202.013,1000
0.018,1715860203.032,1715860203.050,1000
0.017,1715860204.304,1715860204.321,1000
0.020,1715860205.579,1715860205.599,1000
0.020,1715860206.619,1715860206.639,1000
0.023,1715860207.658,1715860207.681,1000
0.017,1715860208.700,1715860208.717,1000
0.018,1715860209.738,1715860209.756,1000
0.022,1715860210.787,1715860210.809,1000
0.020,1715860211.835,1715860211.855,1000
2.182,1715860212.875,1715860215.057,1000
0.018,1715860216.086,1715860216.104,1000
4.253,1715860217.347,1715860221.600,1000
0.017,1715860222.620,1715860222.637,1000
