delay,send_time,receive_time,data_length
0.064,1715857773.763,1715857773.827,1000
0.017,1715857774.767,1715857774.784,1000
0.015,1715857775.771,1715857775.786,1000
0.018,1715857776.774,1715857776.792,1000
0.282,1715857777.778,1715857778.060,1000
0.017,1715857778.781,1715857778.798,1000
0.021,1715857779.785,1715857779.806,1000
0.020,1715857780.789,1715857780.809,1000
0.019,1715857781.793,1715857781.812,1000
0.033,1715857782.796,1715857782.829,1000
0.017,1715857783.800,1715857783.817,1000
0.025,1715857784.804,1715857784.829,1000
0.019,1715857785.807,1715857785.826,1000
0.027,1715857786.811,1715857786.838,1000
0.033,1715857787.815,1715857787.848,1000
0.016,1715857788.818,1715857788.834,1000
0.247,1715857789.822,1715857790.069,1000
0.063,1715857790.825,1715857790.888,1000
0.026,1715857791.829,1715857791.855,1000
0.037,1715857792.833,1715857792.870,1000
0.027,1715857793.836,1715857793.863,1000
0.028,1715857794.840,1715857794.868,1000
0.018,1715857795.844,1715857795.862,1000
0.028,1715857796.847,1715857796.875,1000
0.026,1715857797.851,1715857797.877,1000
0.020,1715857798.855,1715857798.875,1000
0.015,1715857799.858,1715857799.873,1000
0.023,1715857800.862,1715857800.885,1000
0.025,1715857801.865,1715857801.890,1000
0.017,1715857802.869,1715857802.886,1000
0.015,1715857803.873,1715857803.888,1000
0.024,1715857804.876,1715857804.900,1000
0.018,1715857805.880,1715857805.898,1000
0.017,1715857806.884,1715857806.901,1000
0.238,1715857807.887,1715857808.125,1000
0.474,1715857808.891,1715857809.365,1000
0.462,1715857809.894,1715857810.356,1000
0.234,1715857810.898,1715857811.132,1000
0.019,1715857811.902,1715857811.921,1000
0.025,1715857812.906,1715857812.931,1000
0.023,1715857813.909,1715857813.932,1000
0.022,1715857814.913,1715857814.935,1000
0.017,1715857815.916,1715857815.933,1000
0.239,1715857816.920,1715857817.159,1000
0.016,1715857817.924,1715857817.940,1000
0.017,1715857818.928,1715857818.945,1000
0.236,1715857819.931,1715857820.167,1000
0.020,1715857820.935,1715857820.955,1000
0.017,1715857821.938,1715857821.955,1000
0.016,1715857822.942,1715857822.958,1000
0.016,1715857823.946,1715857823.962,1000
0.018,1715857824.949,1715857824.967,1000
0.238,1715857825.953,1715857826.191,1000
0.015,1715857826.957,1715857826.972,1000
0.018,1715857827.961,1715857827.979,1000
0.026,1715857828.964,1715857828.990,1000
0.020,1715857829.968,1715857829.988,1000
0.256,1715857830.972,1715857831.228,1000
0.016,1715857831.975,1715857831.991,1000
0.237,1715857832.979,1715857833.216,1000
0.018,1715857833.982,1715857834.000,1000
0.016,1715857834.986,1715857835.002,1000
0.023,1715857835.990,1715857836.013,1000
0.015,1715857836.993,1715857837.008,1000
0.022,1715857837.997,1715857838.019,1000
0.018,1715857839.001,1715857839.019,1000
0.234,1715857840.005,1715857840.239,1000
0.023,1715857841.008,1715857841.031,1000
0.023,1715857842.012,1715857842.035,1000
0.024,1715857843.016,1715857843.040,1000
0.016,1715857844.019,1715857844.035,1000
0.018,1715857845.023,1715857845.041,1000
0.019,1715857846.027,1715857846.046,1000
0.030,1715857847.030,1715857847.060,1000
0.020,1715857848.034,1715857848.054,1000
0.239,1715857849.038,1715857849.277,1000
0.231,1715857850.041,1715857850.272,1000
0.018,1715857851.045,1715857851.063,1000
0.015,1715857852.049,1715857852.064,1000
0.015,1715857853.052,1715857853.067,1000
0.015,1715857854.056,1715857854.071,1000
0.018,1715857855.060,1715857855.078,1000
0.018,1715857856.063,1715857856.081,1000
0.235,1715857857.067,1715857857.302,1000
0.015,1715857858.071,1715857858.086,1000
0.033,1715857859.074,1715857859.107,1000
0.019,1715857860.078,1715857860.097,1000
0.016,1715857861.082,1715857861.098,1000
0.018,1715857862.085,1715857862.103,1000
0.016,1715857863.089,1715857863.105,1000
0.234,1715857864.092,1715857864.326,1000
0.017,1715857865.096,1715857865.113,1000
0.233,1715857866.100,1715857866.333,1000
0.015,1715857867.103,1715857867.118,1000
0.016,1715857868.107,1715857868.123,1000
0.019,1715857869.111,1715857869.130,1000
0.019,1715857870.115,1715857870.134,1000
0.030,1715857871.118,1715857871.148,1000
0.015,1715857872.122,1715857872.137,1000
0.015,1715857873.126,1715857873.141,1000
0.020,1715857874.129,1715857874.149,1000
0.234,1715857875.133,1715857875.367,1000
0.014,1715857876.137,1715857876.151,1000
0.017,1715857877.141,1715857877.158,1000
0.020,1715857878.144,1715857878.164,1000
0.024,1715857879.148,1715857879.172,1000
0.016,1715857880.152,1715857880.168,1000
0.019,1715857881.155,1715857881.174,1000
0.016,1715857882.159,1715857882.175,1000
0.019,1715857883.163,1715857883.182,1000
0.017,1715857884.167,1715857884.184,1000
0.017,1715857885.170,1715857885.187,1000
0.015,1715857886.174,1715857886.189,1000
0.018,1715857887.178,1715857887.196,1000
0.237,1715857888.185,1715857888.422,1000
0.019,1715857889.189,1715857889.208,1000
0.017,1715857890.193,1715857890.210,1000
0.233,1715857891.196,1715857891.429,1000
0.017,1715857892.200,1715857892.217,1000
0.016,1715857893.204,1715857893.220,1000
0.071,1715857894.207,1715857894.278,1000
0.016,1715857895.211,1715857895.227,1000
0.023,1715857896.215,1715857896.238,1000
0.019,1715857897.218,1715857897.237,1000
0.016,1715857898.222,1715857898.238,1000
0.017,1715857899.229,1715857899.246,1000
0.025,1715857900.233,1715857900.258,1000
0.233,1715857901.237,1715857901.470,1000
0.016,1715857902.240,1715857902.256,1000
0.017,1715857903.244,1715857903.261,1000
